203|Las métricas siguientes se calculan directamente a partir de la base de datos de productos de 360 Merchandising y esta página las actualiza periódicamente.|Die folgenden Kennzahlen werden direkt aus der Produktdatenbank von 360 Merchandising berechnet und auf dieser Seite regelmäßig aktualisiert.|Le metriche seguenti sono calcolate direttamente dal database dei prodotti di 360 Merchandising e aggiornate periodicamente da questa pagina.
204|Última generación|Zuletzt erstellt|Ultima generazione
205|Qué podemos afirmar|Was wir aussagen können|Cosa possiamo affermare
206|Podemos indicar cuántos productos de nuestra propia base de datos cumplen un criterio objetivo en el momento del cálculo.|Wir können angeben, wie viele Produkte in unserer eigenen Datenbank zum Berechnungszeitpunkt ein objektives Kriterium erfüllen.|Possiamo indicare quanti prodotti del nostro database soddisfano un criterio oggettivo al momento del calcolo.
207|Qué no deducimos|Was wir nicht ableiten|Cosa non deduciamo
208|Estas cifras no representan cuota de mercado, preferencias del consumidor, ventas del sector, popularidad nacional ni rendimiento de campañas.|Diese Zahlen stehen nicht für Marktanteile, Verbraucherpräferenzen, Branchenumsätze, landesweite Beliebtheit oder Kampagnenerfolg.|Questi dati non rappresentano quote di mercato, preferenze dei consumatori, vendite del settore, popolarità nazionale o risultati delle campagne.
209|Futuros indicadores|Künftige Kennzahlen|Indicatori futuri
210|Solo se publicarán nuevos indicadores cuando su definición, fuente y calidad de datos sean lo bastante claras como para explicarlos y reproducirlos.|Neue Kennzahlen werden erst veröffentlicht, wenn Definition, Quelle und Datenqualität ausreichend klar sind, um sie zu erläutern und zu reproduzieren.|Nuovi indicatori verranno pubblicati solo quando definizione, fonte e qualità dei dati saranno abbastanza chiare da consentirne la spiegazione e la riproduzione.
211|Transparencia editorial|Redaktionelle Transparenz|Trasparenza editoriale
212|Los datos propios solo generan credibilidad cuando pueden explicarse|Eigene Daten schaffen nur dann Glaubwürdigkeit, wenn sie erklärbar sind|I dati proprietari creano autorevolezza solo quando possono essere spiegati
213|Nuestra metodología distingue los datos del catálogo, las recomendaciones editoriales y la información externa. No publicamos estadísticas estimadas como si fueran observaciones reales de la plataforma.|Unsere Methodik unterscheidet Katalogdaten, redaktionelle Empfehlungen und externe Informationen. Wir veröffentlichen keine geschätzten Statistiken als tatsächliche Plattformbeobachtungen.|La nostra metodologia distingue dati del catalogo, raccomandazioni editoriali e informazioni esterne. Non pubblichiamo statistiche stimate come se fossero osservazioni reali della piattaforma.
214|Metodología editorial|Redaktionelle Methodik|Metodologia editoriale
215|Productos activos|Aktive Produkte|Prodotti attivi
216|Productos marcados como activos y disponibles en la base de datos del catálogo de la plataforma.|Als aktiv und verfügbar markierte Produkte in der Katalogdatenbank der Plattform.|Prodotti contrassegnati come attivi e disponibili nel database del catalogo della piattaforma.
217|Productos personalizables|Personalisierbare Produkte|Prodotti personalizzabili
218|Productos activos marcados como personalizables en la base de datos.|Aktive Produkte, die in der Datenbank als personalisierbar markiert sind.|Prodotti attivi contrassegnati come personalizzabili nel database.
219|Pedido mínimo compatible con 50 unidades|Mindestmenge von höchstens 50 Stück|Minimo compatibile con 50 unità
220|Productos activos con un pedido mínimo registrado de 50 unidades o menos.|Aktive Produkte mit einer erfassten Mindestbestellmenge von höchstens 50 Stück.|Prodotti attivi con un ordine minimo registrato pari o inferiore a 50 unità.
221|Pedido mínimo compatible con 100 unidades|Mindestmenge von höchstens 100 Stück|Minimo compatibile con 100 unità
222|Productos activos con un pedido mínimo registrado de 100 unidades o menos.|Aktive Produkte mit einer erfassten Mindestbestellmenge von höchstens 100 Stück.|Prodotti attivi con un ordine minimo registrato pari o inferiore a 100 unità.
223|Técnica no encontrada|Technik nicht gefunden|Tecnica non trovata
224|Volver a la personalización|Zurück zur Personalisierung|Torna alla personalizzazione
225|Personalización · Técnica|Personalisierung · Technik|Personalizzazione · Tecnica
226|Lista de comprobación antes de configurar|Checkliste vor der Konfiguration|Verifiche prima della configurazione
227|Comparar con|Vergleichen mit|Confronta con
228|Ver técnica|Technik ansehen|Vedi la tecnica
229|Técnicas de personalización de merchandising|Techniken zur Personalisierung von Merchandising|Tecniche di personalizzazione del merchandising
230|Centro de personalización de 360 Merchandising: serigrafía, tampografía, grabado láser, transfer, estampación en caliente y criterios de configuración.|Personalisierungsbereich von 360 Merchandising: Siebdruck, Tampondruck, Lasergravur, Transferdruck, Heißprägung und Konfigurationskriterien.|Centro di personalizzazione di 360 Merchandising: serigrafia, tampografia, incisione laser, transfer, stampa a caldo e criteri di configurazione.
231|Centro de personalización|Personalisierungsbereich|Centro di personalizzazione
232|Comprende las técnicas antes de configurar un producto|Verstehen Sie die Techniken, bevor Sie ein Produkt konfigurieren|Comprendi le tecniche prima di configurare un prodotto
233|La personalización depende de la combinación de producto, variante, componente, ubicación, área y técnica. Este centro explica las opciones sin sustituir la configuración específica de cada producto.|Die Personalisierung hängt von Produkt, Variante, Komponente, Position, Fläche und Technik ab. Dieser Bereich erläutert die Möglichkeiten, ersetzt aber nicht die spezifische Konfiguration am jeweiligen Produkt.|La personalizzazione dipende dalla combinazione di prodotto, variante, componente, posizione, area e tecnica. Questo centro spiega le opzioni senza sostituire la configurazione specifica di ogni prodotto.
234|Configuración específica del producto|Produktspezifische Konfiguration|Configurazione specifica del prodotto
235|La técnica disponible depende siempre de la referencia del producto|Die verfügbare Technik hängt immer von der Produktreferenz ab|La tecnica disponibile dipende sempre dal riferimento del prodotto
236|Consulta la página del producto para confirmar la variante, ubicación, área, técnica, cantidad y precio aplicables a tu configuración.|Prüfen Sie auf der Produktseite, welche Variante, Position, Fläche, Technik, Menge und welcher Preis für Ihre Konfiguration gelten.|Consulta la pagina del prodotto per confermare variante, posizione, area, tecnica, quantità e prezzo applicabili alla tua configurazione.
237|Explorar productos|Produkte entdecken|Esplora i prodotti
238|Producto no encontrado|Produkt nicht gefunden|Prodotto non trovato
239|Personalizar producto|Produkt personalisieren|Personalizza il prodotto
240|La variante {0} no tiene áreas de personalización proporcionadas por el proveedor. Mostramos la primera variante compatible.|Für die Variante {0} stellt der Lieferant keine Personalisierungsflächen bereit. Wir zeigen die erste kompatible Variante.|La variante {0} non ha aree di personalizzazione fornite dal fornitore. Mostriamo la prima variante compatibile.
241|seleccionada|ausgewählt|selezionata
242|Selección no encontrada|Auswahl nicht gefunden|Selezione non trovata
243|Selecciones 360: los mejores productos promocionales según el contexto|360-Auswahl: die besten Werbeartikel für jeden Kontext|Selezioni 360: i migliori prodotti promozionali per ogni contesto
244|Selecciones para comparar productos promocionales según su uso, con criterios explícitos y sin clasificaciones artificiales.|Auswahlseiten zum Vergleich von Werbeartikeln nach Einsatzbereich, mit klaren Kriterien und ohne künstliche Ranglisten.|Selezioni per confrontare prodotti promozionali in base all'uso, con criteri espliciti e senza classifiche artificiali.
245|Compara opciones para empresas, eventos, congresos, equipos, sostenibilidad y tecnología con una metodología transparente.|Vergleichen Sie Optionen für Unternehmen, Veranstaltungen, Konferenzen, Teams, Nachhaltigkeit und Technologie mit transparenter Methodik.|Confronta opzioni per aziende, eventi, congressi, team, sostenibilità e tecnologia con una metodologia trasparente.
246|Selecciones editoriales transparentes|Transparente redaktionelle Auswahl|Selezioni editoriali trasparenti
247|Selecciones 360: qué significa «mejor» en cada contexto|360-Auswahl: Was „am besten“ im jeweiligen Kontext bedeutet|Selezioni 360: cosa significa «migliore» in ogni contesto
248|En merchandising, «mejor» depende del objetivo. Estas páginas organizan opciones del catálogo activo por contexto y explican los criterios utilizados, sin convertir una recomendación en una promesa universal.|Beim Merchandising hängt „am besten“ vom Ziel ab. Diese Seiten ordnen Optionen aus dem aktiven Katalog nach Kontext und erläutern die Kriterien, ohne eine Empfehlung zum allgemeingültigen Versprechen zu machen.|Nel merchandising, «migliore» dipende dall'obiettivo. Queste pagine organizzano le opzioni del catalogo attivo per contesto e spiegano i criteri usati, senza trasformare una raccomandazione in una promessa universale.
249|Criterios visibles|Sichtbare Kriterien|Criteri visibili
250|Cada selección indica sus criterios, explica la metodología y vincula el precio, el stock y la personalización a los datos reales de cada producto.|Jede Auswahl nennt ihre Kriterien, erläutert die Methodik und verknüpft Preis, Bestand und Personalisierung mit den tatsächlichen Produktdaten.|Ogni selezione indica i propri criteri, spiega la metodologia e collega prezzo, disponibilità e personalizzazione ai dati reali di ogni prodotto.
251|Ver criterios y opciones|Kriterien und Optionen ansehen|Vedi criteri e opzioni
252|Qué no hacen estas páginas|Was diese Seiten nicht leisten|Cosa non fanno queste pagine
253|No inventan puntuaciones ni opiniones.|Sie erfinden keine Bewertungen oder Rezensionen.|Non inventano valutazioni o recensioni.
254|No asignan puntuaciones sin datos verificables.|Sie vergeben keine Punktzahlen ohne überprüfbare Daten.|Non assegnano punteggi senza dati verificabili.
255|No garantizan stock futuro ni un plazo universal.|Sie garantieren weder künftigen Bestand noch eine allgemeine Lieferfrist.|Non garantiscono disponibilità futura né una scadenza universale.
256|No sustituyen la configuración final del producto.|Sie ersetzen nicht die abschließende Produktkonfiguration.|Non sostituiscono la configurazione finale del prodotto.
257|Encuentra merchandising adecuado para tus necesidades, cantidad y presupuesto.|Finden Sie Merchandising passend zu Bedarf, Menge und Budget.|Trova merchandising adatto alle tue esigenze, alla quantità e al budget.
258|Encuentra el merchandising adecuado en segundos.|Finden Sie in Sekunden das passende Merchandising.|Trova il merchandising giusto in pochi secondi.
259|No busques entre miles de productos. Cuéntanos qué necesitas.|Durchsuchen Sie nicht Tausende Produkte. Sagen Sie uns, was Sie benötigen.|Non cercare tra migliaia di prodotti. Dicci cosa ti serve.
260|Selección 360 para tu campaña|360-Auswahl für Ihre Kampagne|Selezione 360 per la tua campagna
261|productos encontrados|passende Produkte|prodotti corrispondenti
262|Presupuesto|Budget|Budget
263|Máx.|Max.|Max.
264|/persona|/Person|/persona
265|Sostenible|Nachhaltig|Sostenibile
266|Ordenar resultados|Ergebnisse sortieren|Ordina i risultati
267|Recomendado|Empfohlen|Consigliato
268|Precio más bajo|Niedrigster Preis|Prezzo più basso
269|Mejor relación calidad-precio|Bestes Preis-Leistungs-Verhältnis|Miglior rapporto qualità-prezzo
270|Aplicar|Anwenden|Applica
271|No encontramos una combinación que coincida completamente|Keine vollständig passende Kombination gefunden|Non abbiamo trovato una combinazione pienamente corrispondente
272|Prueba a aumentar el presupuesto, reducir la cantidad o hacer la solicitud menos específica.|Erhöhen Sie das Budget, verringern Sie die Menge oder formulieren Sie die Anfrage weniger spezifisch.|Prova ad aumentare il budget, ridurre la quantità o rendere la richiesta meno specifica.
273|360 Smart Merch todavía no está disponible|360 Smart Merch ist derzeit noch nicht verfügbar|360 Smart Merch non è ancora disponibile
274|No hemos podido crear tu selección|Ihre Auswahl konnte nicht erstellt werden|Non è stato possibile creare la tua selezione
275|Smart Merch no está disponible en este momento. Puedes explorar el catálogo o contactar con nuestro equipo.|Smart Merch ist derzeit nicht verfügbar. Sie können den Katalog durchsuchen oder unser Team kontaktieren.|Smart Merch non è disponibile al momento. Puoi esplorare il catalogo o contattare il nostro team.
276|Inténtalo de nuevo en unos instantes o modifica tu solicitud.|Versuchen Sie es in Kürze erneut oder ändern Sie Ihre Anfrage.|Riprova tra poco oppure modifica la richiesta.
277|Solución no encontrada|Lösung nicht gefunden|Soluzione non trovata
278|Soluciones de productos promocionales personalizados por presupuesto y cantidad|Lösungen für personalisierte Werbeartikel nach Budget und Menge|Soluzioni di prodotti promozionali personalizzati per budget e quantità
279|Explora regalos personalizados por presupuesto, cantidad, necesidad empresarial y ocasión, con criterios claros y productos del catálogo activo.|Entdecken Sie personalisierte Geschenke nach Budget, Menge, Geschäftsbedarf und Anlass mit klaren Kriterien und Produkten aus dem aktiven Katalog.|Esplora regali personalizzati per budget, quantità, esigenze aziendali e occasione, con criteri chiari e prodotti del catalogo attivo.
